"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13220","Validate that the user is on the task page and perform lighthouse performance","Task page for Assert QA","Thu Jan 09 17:19:49 GMT 2025","passed","Thu Jan 09 17:20:02 GMT 2025","","","",""
"","1013","Click on each edit button with text ""Edit"" and validate URL contains #edit","Task page for Assert QA","Thu Jan 09 17:19:46 GMT 2025","passed","Thu Jan 09 17:19:47 GMT 2025","","","",""
"","855","Validate clicks on each button with page reload after each click","Task page for Assert QA","Thu Jan 09 17:19:48 GMT 2025","passed","Thu Jan 09 17:19:49 GMT 2025","","","",""
"","491","Validate that the user is on the task page","Task page for Assert QA","Thu Jan 09 17:19:45 GMT 2025","passed","Thu Jan 09 17:19:46 GMT 2025","","","",""
"","149","Validate that the buttons edit & delete are visible","Task page for Assert QA","Thu Jan 09 17:19:46 GMT 2025","passed","Thu Jan 09 17:19:46 GMT 2025","","","",""
"","965","Click on each delete button with text ""Delete"" and validate URL contains #delete","Task page for Assert QA","Thu Jan 09 17:19:47 GMT 2025","passed","Thu Jan 09 17:19:48 GMT 2025","","","",""
"","141","Validate that the buttons are visible","Task page for Assert QA","Thu Jan 09 17:19:46 GMT 2025","passed","Thu Jan 09 17:19:46 GMT 2025","","","",""
